type,ent_ts,ent_px,qty,sl,tp,ent_idx,scale,exit_px,exit_ts,reason,pnl,equity
long,2022-06-06 10:05:00-04:00,12793.5,2.0,12692.25,12878.75,4744,2.0,12786.5,2022-06-06 10:09:00-04:00,5m,-285.48,199714.52
long,2022-06-06 10:11:00-04:00,12793.0,1.9,12692.25,12878.75,4750,1.9,12752.5,2022-06-06 11:08:00-04:00,VWAP,-1544.206,198170.314
long,2022-06-07 10:21:00-04:00,12545.75,1.9,12412.5,12640.5,6140,1.9,12640.5,2022-06-07 10:36:00-04:00,TP,3595.294,201765.608
long,2022-06-08 10:19:00-04:00,12725.75,2.0,12627.5,12820.5,7518,2.0,12716.5,2022-06-08 10:43:00-04:00,VWAP,-375.48,201390.128
long,2022-06-08 10:44:00-04:00,12727.25,2.0,12627.5,12820.5,7543,2.0,12711.5,2022-06-08 10:56:00-04:00,VWAP,-635.48,200754.648
long,2022-06-08 11:11:00-04:00,12725.75,2.0,12627.5,12820.5,7570,2.0,12726.0,2022-06-08 11:59:00-04:00,VWAP,4.52,200759.168
long,2022-06-08 12:00:00-04:00,12732.75,2.0,12627.5,12820.5,7619,2.0,12721.25,2022-06-08 12:05:00-04:00,VWAP,-465.48,200293.688
long,2022-06-15 10:04:00-04:00,11548.0,2.0,11459.75,11634.25,14402,2.0,11521.5,2022-06-15 10:20:00-04:00,VWAP,-1065.48,199228.208
long,2022-06-15 12:14:00-04:00,11553.0,1.9,11459.75,11634.25,14532,1.9,11508.0,2022-06-15 12:53:00-04:00,VWAP,-1715.206,197513.002
long,2022-06-15 13:39:00-04:00,11548.75,1.9,11459.75,11634.25,14617,1.9,11539.5,2022-06-15 13:44:00-04:00,5m,-356.706,197156.296
long,2022-06-15 13:54:00-04:00,11547.25,1.9,11459.75,11634.25,14632,1.9,11634.25,2022-06-15 14:00:00-04:00,TP,3300.7939999999994,200457.09
short,2022-06-17 10:56:00-04:00,11182.0,2.0,11326.0,11043.0,17214,2.0,11171.75,2022-06-17 10:59:00-04:00,5m,404.52,200861.61
long,2022-06-17 13:05:00-04:00,11330.5,2.0,11184.5,11467.5,17343,2.0,11330.0,2022-06-17 14:59:00-04:00,EOD,-25.48,200836.13
long,2022-06-20 10:55:00-04:00,11377.5,2.0,11339.75,11412.25,18593,2.0,11412.25,2022-06-20 11:56:00-04:00,TP,1384.52,202220.65
